0,1,0,41,41,,,
1,1,0,24,24,,,
2,1,0,24,24,41,41,
3,2,2,12,12,,,22
4,3,3,25,25,26,26,18
5,4,4,26,26,27,27,6
6,5,5,27,27,28,28,
7,6,6,28,28,29,29,15
8,7,7,30,30,31,31,17
9,8,8,32,32,33,33,16
10,9,9,33,33,34,34,21
11,10,11,34,34,35,36,
12,12,12,37,37,38,38,20
13,13,13,38,38,39,39,19
14,14,14,40,40,,,6
15,15,15,42,42,43,43,7
16,16,16,43,43,44,44,9
17,17,17,45,45,46,46,8
18,18,18,46,46,47,47,4
19,19,19,47,47,48,48,13
20,20,20,49,49,50,50,12
21,21,21,51,51,52,52,10
22,22,22,53,53,54,55,
23,23,23,56,56,,,19
